president,date,total_sentences,dominant_mood,pride_pct,unity_pct,hope_pct,resolve_pct,anger_pct,neutral_pct
William Howard Taft,"March 04, 1909",159,resolve,0.2138364779874214,0.10062893081761007,0.1069182389937107,0.2893081761006289,0.16981132075471697,0.11949685534591195
Theodore Roosevelt,"March 04, 1905",33,pride,0.36363636363636365,0.12121212121212122,0.15151515151515152,0.36363636363636365,0.0,0.0
William McKinley,"March 04, 1901",94,pride,0.2978723404255319,0.10638297872340426,0.10638297872340426,0.20212765957446807,0.1595744680851064,0.1276595744680851
William McKinley,"March 04, 1897",127,pride,0.2992125984251969,0.11023622047244094,0.06299212598425197,0.2283464566929134,0.2283464566929134,0.07086614173228346
Grover Cleveland,"March 04, 1893",58,resolve,0.27586206896551724,0.08620689655172414,0.0,0.3103448275862069,0.27586206896551724,0.05172413793103448
Benjamin Harrison,"March 04, 1889",156,pride,0.3141025641025641,0.10897435897435898,0.07692307692307693,0.1858974358974359,0.22435897435897437,0.08974358974358974
Grover Cleveland,"March 04, 1885",42,pride,0.30952380952380953,0.16666666666666666,0.0,0.19047619047619047,0.21428571428571427,0.11904761904761904
Chester A. Arthur,"September 22, 1881",14,pride,0.5,0.0,0.0,0.14285714285714285,0.14285714285714285,0.21428571428571427
James A. Garfield,"March 04, 1881",108,pride,0.28703703703703703,0.14814814814814814,0.09259259259259259,0.12962962962962962,0.28703703703703703,0.05555555555555555
Rutherford B. Hayes,"March 05, 1877",59,unity,0.2711864406779661,0.3389830508474576,0.03389830508474576,0.0847457627118644,0.11864406779661017,0.15254237288135594
Ulysses S. Grant,"March 04, 1873",43,pride,0.2558139534883721,0.11627906976744186,0.11627906976744186,0.16279069767441862,0.16279069767441862,0.18604651162790697
Ulysses S. Grant,"March 04, 1869",40,neutral,0.175,0.15,0.075,0.2,0.1,0.3
Andrew Johnson,"April 17, 1865",14,pride,0.2857142857142857,0.0,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857
Abraham Lincoln,"March 04, 1865",24,unity,0.08333333333333333,0.4166666666666667,0.125,0.2916666666666667,0.041666666666666664,0.041666666666666664
Abraham Lincoln,"March 04, 1861",132,unity,0.11363636363636363,0.3106060606060606,0.022727272727272728,0.19696969696969696,0.24242424242424243,0.11363636363636363
James Buchanan,"March 04, 1857",83,pride,0.3253012048192771,0.1686746987951807,0.012048192771084338,0.20481927710843373,0.20481927710843373,0.08433734939759036
Franklin Pierce,"March 04, 1853",103,pride,0.39805825242718446,0.11650485436893204,0.0970873786407767,0.2524271844660194,0.04854368932038835,0.08737864077669903
Zachary Taylor,"March 05, 1849",20,neutral,0.1,0.25,0.0,0.2,0.05,0.4
James K. Polk,"March 04, 1845",146,pride,0.3904109589041096,0.1917808219178082,0.02054794520547945,0.14383561643835616,0.17123287671232876,0.0821917808219178
John Tyler,"April 09, 1841",40,anger,0.125,0.05,0.025,0.225,0.325,0.25
William Henry Harrison,"March 04, 1841",214,anger,0.2616822429906542,0.20093457943925233,0.03271028037383177,0.10747663551401869,0.2803738317757009,0.11682242990654206
Martin van Buren,"March 04, 1837",97,pride,0.26804123711340205,0.16494845360824742,0.10309278350515463,0.25773195876288657,0.12371134020618557,0.08247422680412371
Andrew Jackson,"March 04, 1833",29,unity,0.1724137931034483,0.3103448275862069,0.0,0.20689655172413793,0.10344827586206896,0.20689655172413793
Andrew Jackson,"March 04, 1829",25,resolve,0.28,0.16,0.0,0.32,0.08,0.16
John Quincy Adams,"March 04, 1825",76,pride,0.40789473684210525,0.27631578947368424,0.07894736842105263,0.039473684210526314,0.02631578947368421,0.17105263157894737
James Monroe,"March 04, 1821",133,pride,0.40601503759398494,0.12781954887218044,0.05263157894736842,0.21804511278195488,0.11278195488721804,0.08270676691729323
James Monroe,"March 04, 1817",123,pride,0.43089430894308944,0.11382113821138211,0.032520325203252036,0.21138211382113822,0.12195121951219512,0.08943089430894309
James Madison,"March 04, 1813",33,pride,0.48484848484848486,0.06060606060606061,0.0,0.18181818181818182,0.21212121212121213,0.06060606060606061
James Madison,"March 04, 1809",21,pride,0.42857142857142855,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.19047619047619047
Thomas Jefferson,"March 04, 1805",45,pride,0.28888888888888886,0.13333333333333333,0.044444444444444446,0.13333333333333333,0.2222222222222222,0.17777777777777778
Thomas Jefferson,"March 04, 1801",41,unity,0.17073170731707318,0.2926829268292683,0.04878048780487805,0.1951219512195122,0.14634146341463414,0.14634146341463414
John Adams,"March 04, 1797",37,pride,0.5405405405405406,0.16216216216216217,0.0,0.05405405405405406,0.10810810810810811,0.13513513513513514
George Washington,"March 04, 1793",4,neutral,0.0,0.0,0.0,0.0,0.0,1.0
George Washington,"April 30, 1789",22,neutral,0.2727272727272727,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.13636363636363635,0.36363636363636365
